date,Candidate_name,Comment,Election_year,Postal_data,Poll_data,Final_percentage
12/31/2014,Mahinda,Happy new year to you my king !!! All the best !!!!!,2015,45.04,45.46,47.58
12/31/2014,Mahinda,go sri lanka go...,2015,45.04,45.46,47.58
12/31/2014,Mahinda,Good luck .,2015,45.04,45.46,47.58
12/31/2014,Mahinda,win,2015,45.04,45.46,47.58
12/31/2014,Mahinda,"Good luck, president",2015,45.04,45.46,47.58
12/31/2014,Mahinda,congratulations my king,2015,45.04,45.46,47.58
12/31/2014,Mahinda,This is a very strong message to the entire nation.,2015,45.04,45.46,47.58
12/31/2014,Mahinda,curse the family power,2015,45.04,45.46,47.58
12/31/2014,Mahinda,laughing from my ass,2015,45.04,45.46,47.58
12/31/2014,Mahinda,"Dear Sir , Please give right and left to the Jumpers. Do not give them any chance to comeback to politics. and acquire their assets collected during the stay in the Parliament. This is a must.",2015,45.04,45.46,47.58
12/30/2014,Mahinda,you frogot us,2015,45.04,45.46,47.58
12/30/2014,Mahinda,"All what you say to people are lies. According to five precepts, a new hell needs to be constructed for you to go",2015,45.04,45.46,47.58
12/30/2014,Mahinda,"Is this development!? sorry sir, this is not a development; this is a luxury",2015,45.04,45.46,47.58
12/30/2014,Mahinda,Don't Mention the War! - Fawlty Towers -,2015,45.04,45.46,47.58
12/30/2014,Mahinda,you stopped the war but how about political war which is flourishing under your patronage,2015,45.04,45.46,47.58
12/30/2014,Mahinda,please explain how you stopped the war and tell me what is principles of war and what tactics you used,2015,45.04,45.46,47.58
12/30/2014,Mahinda,Excellent video,2015,45.04,45.46,47.58
12/30/2014,Mahinda,"Dear President, You are the REAL FATHER OF THE NATION, Since you defeated bloody LTTE TERRORISM and United , Protected OUR BELOVED MOTHERLAND AS ONE NATION forever. Now ALL SRI LANKANS (SINHALESE, TAMILS, MUSLIMS, MALAYS, BURGERS) Live in Harmony together with GREAT BROTHERHOOD ! So ALL SRI LANKANS with every PATRIOTS except TRAITORS always with you !!!",2015,45.04,45.46,47.58
12/30/2014,Mahinda,Wow!!! That's right. U are the father of our Country. God bless U.,2015,45.04,45.46,47.58
12/30/2014,Mahinda,your our father,2015,45.04,45.46,47.58
12/26/2014,Mahinda,good mahinda,2015,45.04,45.46,47.58
12/26/2014,Mahinda,love,2015,45.04,45.46,47.58
12/26/2014,Mahinda,win,2015,45.04,45.46,47.58
12/26/2014,Mahinda,the best is our president mahinda,2015,45.04,45.46,47.58
12/26/2014,Mahinda,respect you,2015,45.04,45.46,47.58
12/26/2014,Mahinda,our future is you,2015,45.04,45.46,47.58
12/26/2014,Mahinda,our wishes always our president,2015,45.04,45.46,47.58
12/26/2014,Mahinda,beautiful,2015,45.04,45.46,47.58
12/26/2014,Mahinda,father of a nation,2015,45.04,45.46,47.58
12/26/2014,Mahinda,very sweet,2015,45.04,45.46,47.58
12/24/2014,Mahinda,this is natural not acting... good luck Mr president...,2015,45.04,45.46,47.58
12/24/2014,Mahinda,super,2015,45.04,45.46,47.58
12/24/2014,Mahinda,good father,2015,45.04,45.46,47.58
12/24/2014,Mahinda,good luck,2015,45.04,45.46,47.58
12/24/2014,Mahinda,win for sure,2015,45.04,45.46,47.58
12/24/2014,Mahinda,thnks sir,2015,45.04,45.46,47.58
12/24/2014,Mahinda,hundred thousand dollar watch',2015,45.04,45.46,47.58
12/24/2014,Mahinda,Wow,2015,45.04,45.46,47.58
12/24/2014,Mahinda,saved us from war,2015,45.04,45.46,47.58
12/24/2014,Mahinda,super king,2015,45.04,45.46,47.58
12/22/2014,Mahinda,great,2015,45.04,45.46,47.58
12/22/2014,Mahinda,laugh out loud,2015,45.04,45.46,47.58
12/22/2014,Mahinda,well done,2015,45.04,45.46,47.58
12/22/2014,Mahinda,super,2015,45.04,45.46,47.58
12/22/2014,Mahinda,lets vote,2015,45.04,45.46,47.58
12/22/2014,Mahinda,miracle of mahinda,2015,45.04,45.46,47.58
12/22/2014,Mahinda,u a only one king in our country...we with u...........gd luck..,2015,45.04,45.46,47.58
12/22/2014,Mahinda,Come back and join your brothers and sisters and support them in getting their rights.,2015,45.04,45.46,47.58
12/22/2014,Mahinda,Would you like to go back to that dark age? You should think about this and decide..!,2015,45.04,45.46,47.58
12/22/2014,Mahinda,dark era,2015,45.04,45.46,47.58
12/21/2014,Mahinda,win sure,2015,45.04,45.46,47.58
12/21/2014,Mahinda,our president,2015,45.04,45.46,47.58
12/14/2014,Mahinda,Good luck PRESIDENT M.R Good luck sri lanka We are all with you always.,2015,45.04,45.46,47.58
12/14/2014,Mahinda,We are all with you PRESIDENT M.R,2015,45.04,45.46,47.58
12/14/2014,Mahinda,never,2015,45.04,45.46,47.58
12/14/2014,Mahinda,Well com to our king mahinda rajapaksha,2015,45.04,45.46,47.58
12/14/2014,Mahinda,people are with you,2015,45.04,45.46,47.58
12/14/2014,Mahinda,PRESIDENT M.R WE ARE ALL WITH YOU YOUR NEVER ALONE,2015,45.04,45.46,47.58
12/14/2014,Mahinda,wish of the country,2015,45.04,45.46,47.58
12/14/2014,Mahinda,lets win mahinda father so his sons can have fun,2015,45.04,45.46,47.58
12/14/2014,Mahinda,vote for mahinda,2015,45.04,45.46,47.58
12/14/2014,Mahinda,devils,2015,45.04,45.46,47.58
12/4/2014,Mahinda,ever win for mahinda,2015,45.04,45.46,47.58
12/4/2014,Mahinda,vote for mahinda,2015,45.04,45.46,47.58
12/4/2014,Mahinda,this is the real leader,2015,45.04,45.46,47.58
12/1/2014,Mahinda,Excellent video,2015,45.04,45.46,47.58
12/1/2014,Mahinda,good,2015,45.04,45.46,47.58
12/1/2014,Mahinda,mahidna win,2015,45.04,45.46,47.58
12/1/2014,Mahinda,good job,2015,45.04,45.46,47.58
12/1/2014,Mahinda,congratulations my king,2015,45.04,45.46,47.58
12/1/2014,Mahinda,Good work you have done we all appreciate. I am sure i will have many likes for this post,2015,45.04,45.46,47.58
12/1/2014,Mahinda,This all money make for u and ur family.. not useful for public,2015,45.04,45.46,47.58
12/1/2014,Mahinda,great job,2015,45.04,45.46,47.58
12/1/2014,Mahinda,Perfect if not for the #mahindarajapaksha cut out.,2015,45.04,45.46,47.58
11/26/2014,Mahinda,"This is Tomorrow, Dictator is going home",2015,45.04,45.46,47.58
11/26/2014,Mahinda,god bless you,2015,45.04,45.46,47.58
11/26/2014,Mahinda,Appointments for shoppers only. Not available to the eligible.,2015,45.04,45.46,47.58
11/26/2014,Mahinda,your joking,2015,45.04,45.46,47.58
11/26/2014,Mahinda,"It is the duty of every parent to appoint such a public leader of our country as a life president not three times but six or seven times. If you want to see your sons and daughters as employed people and not as jobless people after completing their education, join together with Mr. Mahinda Rajapaksa this time.",2015,45.04,45.46,47.58
11/26/2014,Mahinda,win,2015,45.04,45.46,47.58
11/26/2014,Mahinda,There is no option to our people without you .Mr president go head now you are in one horse race,2015,45.04,45.46,47.58
11/25/2014,Mahinda,vote for maithri,2015,45.04,45.46,47.58
11/25/2014,Mahinda,proud srilanka,2015,45.04,45.46,47.58
11/25/2014,Mahinda,win,2015,45.04,45.46,47.58
11/25/2014,Mahinda,win win,2015,45.04,45.46,47.58
11/24/2014,Mahinda,"Stupid Harako, this guy intended to be innocent, the frustration of the people who give it, and the Harako is wrote to them ,,,, the",2015,45.04,45.46,47.58
11/24/2014,Mahinda,The charter thing is to take the fact that Mahinda won the election even though he has no life and post the president big.,2015,45.04,45.46,47.58
11/24/2014,Mahinda,"Man, it is said that there is no advantage in voting for your father. you don't understand Sinhala",2015,45.04,45.46,47.58
11/24/2014,Mahinda,Namal Baby. Please try to understand. People do not like you ore respect you . There are some blind followers . Day by day your facebook posts are criticized. You still have you young life ahead. Do something with your life. Be honest for at least once. You dont have to be the same scam your dad was.,2015,45.04,45.46,47.58
11/24/2014,Mahinda,But Mr.President has to understand the value of democracy. I think he is now moving away from that due to the greediness to power. Otherwise what is the reason for going an early election when there is another 2 years of the term..,2015,45.04,45.46,47.58
11/24/2014,Mahinda,Hon. Namal Rajapaksha. Pls change ur father and father's brothers towards democracy and good governance. Other wise u asking vote to ur father is a major crime against d mother SL. We respect this country rather than ur family government.,2015,45.04,45.46,47.58
11/24/2014,Mahinda,do not forget 30 year LTT problem if you need give country back to them bring Ranile to front,2015,45.04,45.46,47.58
11/24/2014,Mahinda,very funny,2015,45.04,45.46,47.58
11/24/2014,Mahinda,people proved it in last presidential election and general election,2015,45.04,45.46,47.58
11/24/2014,Mahinda,destroyed the country by bringning forard the fact of winning war,2015,45.04,45.46,47.58
11/22/2014,Mahinda,Hats off Lord,2015,45.04,45.46,47.58
11/22/2014,Mahinda,you are great leader i say win,2015,45.04,45.46,47.58
11/22/2014,Mahinda,"hon. President, You promised to end 30 years war, YOU DID IT. Now You implement huge development to our country, WE SEE IT NOW. You are one and only leader can take this country forward.",2015,45.04,45.46,47.58
11/22/2014,Mahinda,We never forget our past.,2015,45.04,45.46,47.58
11/22/2014,Mahinda,wish you the best and defa you will win. We all are there to back u up. All the best.,2015,45.04,45.46,47.58
11/22/2014,Mahinda,"Whether you win or not, Dear President, thank you for saving and not making our country a colony of another powerful country!",2015,45.04,45.46,47.58
11/22/2014,Mahinda,"very true, Gay Ranil will only give gold chains to boys",2015,45.04,45.46,47.58
11/22/2014,Mahinda,Don't let the betrayal of your 'fake' friends bring you down.....we are with you no matter what,2015,45.04,45.46,47.58
11/22/2014,Mahinda,no one can beat Mahinda,2015,45.04,45.46,47.58
11/22/2014,Mahinda,We are living & enjoying so much peace today. and we see lot of development going on.....So why we should change........obviously there is no reason now.........Obathumata Jayawewa,2015,45.04,45.46,47.58
11/22/2014,Mahinda,you lier,2015,45.04,45.46,47.58
11/22/2014,Mahinda,"Mahinda is make very big mistake by giving freedom to law breakers to play with law. S, what Maithree told is correct. A sald has been made. What can happen after taste? If not every individual change there selfish expectation including you and me, things will be worse. Even voters, no matter in between extreme right UNP and extreme left JVP every body has to change their political expectation. Evil queen Chandrika act well. What ever, Mithree told is correct, but evil queen dream to bring his son to SLFP leadership and get secure her heritage and get revenge from Mahinda seem to be bit success. Mahinda responsible for deteriorating rule of law and he also responsible.",2015,45.04,45.46,47.58
11/5/2014,Mahinda,great leader,2015,45.04,45.46,47.58
11/5/2014,Mahinda,wow,2015,45.04,45.46,47.58
11/5/2014,Mahinda,rest in peace,2015,45.04,45.46,47.58
